,compound,concentration,replicate,TimePoint,siRNA,StateVar,data4modelReal
373,NIT,7.5,R2,19,NRF2,Apop_cells,0.468608093
374,NIT,7.5,R2,19,NRF2,Live_cells,0.930075155
375,NIT,7.5,R2,19,NRF2,Total_cells,1.398683248
376,NIT,7.5,R2,20,NRF2,Apop_cells,0.485391582
377,NIT,7.5,R2,20,NRF2,Live_cells,0.9242646
378,NIT,7.5,R2,20,NRF2,Total_cells,1.409656181
379,NIT,7.5,R3,0,NRF2,Apop_cells,NA
380,NIT,7.5,R3,0,NRF2,Live_cells,NA
381,NIT,7.5,R3,0,NRF2,Total_cells,1
382,NIT,7.5,R3,1,NRF2,Apop_cells,0.201456509
383,NIT,7.5,R3,1,NRF2,Live_cells,0.798543492
384,NIT,7.5,R3,1,NRF2,Total_cells,1
385,NIT,7.5,R3,2,NRF2,Apop_cells,0.173759247
386,NIT,7.5,R3,2,NRF2,Live_cells,0.842919001
387,NIT,7.5,R3,2,NRF2,Total_cells,1.016678249
388,NIT,7.5,R3,3,NRF2,Apop_cells,0.192756203
389,NIT,7.5,R3,3,NRF2,Live_cells,0.807938724
390,NIT,7.5,R3,3,NRF2,Total_cells,1.000694927
391,NIT,7.5,R3,4,NRF2,Apop_cells,0.193996953
392,NIT,7.5,R3,4,NRF2,Live_cells,0.815037099
393,NIT,7.5,R3,4,NRF2,Total_cells,1.009034051
394,NIT,7.5,R3,5,NRF2,Apop_cells,0.216652535
395,NIT,7.5,R3,5,NRF2,Live_cells,0.778482976
396,NIT,7.5,R3,5,NRF2,Total_cells,0.995135511
397,NIT,7.5,R3,6,NRF2,Apop_cells,0.240025332
398,NIT,7.5,R3,6,NRF2,Live_cells,0.761364522
399,NIT,7.5,R3,6,NRF2,Total_cells,1.001389854
400,NIT,7.5,R3,7,NRF2,Apop_cells,0.249842104
401,NIT,7.5,R3,7,NRF2,Live_cells,0.759191947
402,NIT,7.5,R3,7,NRF2,Total_cells,1.009034051
403,NIT,7.5,R3,8,NRF2,Apop_cells,0.249597141
404,NIT,7.5,R3,8,NRF2,Live_cells,0.774725305
405,NIT,7.5,R3,8,NRF2,Total_cells,1.024322446
406,NIT,7.5,R3,9,NRF2,Apop_cells,0.275543896
407,NIT,7.5,R3,9,NRF2,Live_cells,0.790474172
408,NIT,7.5,R3,9,NRF2,Total_cells,1.066018068
409,NIT,7.5,R3,10,NRF2,Apop_cells,0.303676892
410,NIT,7.5,R3,10,NRF2,Live_cells,0.785273769
411,NIT,7.5,R3,10,NRF2,Total_cells,1.08895066
412,NIT,7.5,R3,11,NRF2,Apop_cells,0.32557848
413,NIT,7.5,R3,11,NRF2,Live_cells,0.782830137
414,NIT,7.5,R3,11,NRF2,Total_cells,1.108408617
415,NIT,7.5,R3,12,NRF2,Apop_cells,0.338698501
416,NIT,7.5,R3,12,NRF2,Live_cells,0.781523875
417,NIT,7.5,R3,12,NRF2,Total_cells,1.120222377
418,NIT,7.5,R3,13,NRF2,Apop_cells,0.373130551
419,NIT,7.5,R3,13,NRF2,Live_cells,0.779058469
420,NIT,7.5,R3,13,NRF2,Total_cells,1.15218902
